#date, pm25, pm10, o3, no2, so2, co
2020/5/5, 51, , 28, , 1, 4
2020/5/6, 46, , 31, , 1, 4
2020/5/7, 54, , 29, , 2, 5
2020/5/8, 52, , 26, , , 4
2020/5/9, 35, , 24, , , 3
2020/5/10, 32, , 29, , , 4
2020/5/11, 40, , 42, , 1, 5
2020/5/12, 56, , 25, , 1, 5
2020/5/13, 44, , 35, , 1, 4
2020/5/14, 62, , 32, , 1, 4
2020/5/15, 56, , 42, , 1, 3
2020/5/16, 44, , 27, , , 3
2020/5/17, 28, , 14, , 1, 4
2020/5/18, 36, , 21, , 1, 4
2020/5/19, 46, , 15, , 5, 10
2020/5/20, 46, , , , , 
2020/5/23, 52, , 32, , 1, 4
2020/5/24, 44, , 30, , , 4
2020/5/25, 35, , 29, , , 3
2020/5/26, 26, , 23, , , 2
2020/5/27, 26, , 29, , , 2
2020/5/28, 41, , 39, , 1, 4
2020/5/29, 51, , 33, , 1, 3
2020/5/30, 49, , 27, , 1, 3
2020/5/31, 36, , 34, , , 3
2020/6/1, 38, , 30, , 2, 5
2020/6/2, 52, , 24, , 1, 4
2020/6/3, 42, , 37, , 3, 7
2020/6/4, 64, , 39, , 1, 5
2020/6/5, 45, , 30, , 1, 4
2020/6/6, 34, , 40, , 1, 4
2020/6/7, 38, , 35, , , 4
2020/6/8, 34, , 36, , 1, 4
2020/6/9, 34, , 44, , 1, 5
2020/6/10, 43, , 57, , 2, 7
2020/6/11, 61, , 77, , 1, 6
2020/6/12, 66, , 42, , 2, 9
2020/6/13, 81, , 45, , 3, 7
2020/6/14, 74, , 26, , 1, 6
2020/6/15, 38, , 26, , 1, 5
2020/6/16, 37, , 29, , 2, 4
2020/6/17, 53, , 34, , 1, 3
2020/6/18, 47, , 39, , 1, 3
2020/6/19, 44, , 28, , 2, 5
2020/6/20, 54, , 19, , 2, 4
2020/6/21, 43, , 29, , 1, 3
2020/6/22, 33, , 33, , 2, 4
2020/6/23, 40, , 31, , 2, 4
2020/6/24, 41, , 37, , 3, 5
2020/6/25, 66, , 34, , 2, 4
2020/6/26, 56, , 33, , 2, 4
2020/6/27, 53, , 44, , 2, 4
2020/6/28, 57, , 45, , 1, 4
2020/6/29, 60, , 34, , 3, 4
2020/6/30, 53, , 47, , 2, 4
2020/7/1, 52, , 38, , 2, 5
2020/1/2, 65, , 21, , 2, 5
2020/1/3, 49, , 33, , 3, 7
2020/1/4, 67, , 36, , 1, 8
2020/1/5, 49, , 37, , , 10
2020/1/6, 52, , 25, , , 9
2020/1/7, 49, , 40, , 2, 5
2020/1/8, 84, 15, 52, , 2, 4
2020/1/9, 69, 12, 30, , 2, 2
2020/1/10, 52, 11, 28, , 2, 3
2020/1/11, 48, 13, 23, , 2, 5
2020/1/12, 51, 9, 19, , 1, 3
2020/1/13, 40, 6, 26, , 1, 3
2020/1/14, 37, , 34, , 2, 4
2020/1/15, 47, , 26, , 2, 4
2020/1/16, 44, , 23, , 1, 5
2020/1/17, 44, , 21, , 1, 5
2020/1/18, 38, , 20, , 1, 5
2020/1/19, 34, , 26, , 1, 5
2020/1/20, 36, , 25, , 2, 8
2020/1/21, 61, , 11, , 3, 10
2020/1/22, 59, , 14, , 2, 6
2020/1/23, 45, , 34, , 2, 4
2020/1/24, 56, , 45, , 2, 4
2020/1/25, 51, , 39, , 4, 9
2020/1/26, 76, , 40, , 1, 4
2020/1/27, 56, , 35, , 1, 4
2020/1/28, 49, , 40, , 4, 6
2020/1/29, 68, , 24, , 4, 6
2020/1/30, 68, , 49, , 4, 7
2020/1/31, 74, , 52, , 3, 6
2020/2/1, 66, , 28, , 6, 11
2020/2/2, 93, , 45, , 4, 6
2020/2/3, 55, , 47, , 3, 5
2020/2/4, 57, , 39, , 3, 5
2020/2/5, 60, , 57, , 4, 5
2020/2/6, 72, , 55, , 4, 5
2020/2/7, 69, , 44, , 2, 5
2020/2/8, 65, , , , , 
2020/2/13, 70, , 39, , 3, 6
2020/2/14, 69, , 45, , 4, 7
2020/2/15, 69, , 55, , 3, 7
2020/2/16, 52, , 43, , 2, 6
2020/2/17, 49, , 31, , 2, 5
2020/2/18, 42, , 40, , 2, 6
2020/2/19, 48, , 34, , 3, 7
2020/2/20, 64, , 43, , 3, 8
2020/2/21, 67, , 27, , 4, 8
2020/2/22, 66, , 18, , 4, 7
2020/2/23, 63, , 49, , 3, 7
2020/2/24, 56, , 33, , 2, 6
2020/2/25, 58, , 46, , 3, 6
2020/2/26, 64, , 27, , 3, 7
2020/2/27, 55, , 37, , 3, 7
2020/2/28, 61, , 43, , 4, 8
2020/2/29, 64, , 36, , 3, 6
2020/3/1, 63, , 46, , 3, 6
2020/3/2, 64, , 74, , 3, 6
2020/3/3, 65, , 41, , 4, 7
2020/3/4, 69, , 36, , 3, 5
2020/3/5, 53, , 33, , 3, 7
2020/3/6, 50, , 31, , 4, 9
2020/3/7, 73, , 36, , 3, 5
2020/3/8, 64, , 53, , 3, 6
2020/3/9, 60, , 48, , 4, 7
2020/3/10, 67, , 43, , 4, 8
2020/3/11, 77, , 48, , 4, 9
2020/3/12, 78, , 45, , 4, 8
2020/3/13, 72, , 46, , 4, 7
2020/3/14, 62, , 32, , 3, 7
2020/3/15, 54, , , , , 
2020/3/17, 53, , 51, , 5, 3
2020/3/18, 44, , 67, , , 2
2020/3/19, 53, , 49, , , 2
2020/3/20, 45, , 36, , , 2
2020/3/21, 43, , 31, , , 2
2020/3/22, 40, , 37, , , 2
2020/3/23, 45, , 50, , , 3
2020/3/24, 63, , 61, , , 4
2020/3/25, 77, , 54, , 1, 4
2020/3/26, 91, , 64, , 1, 4
2020/3/27, 63, , 50, , , 4
2020/3/28, 59, , 56, , , 4
2020/3/29, 32, , 71, , , 5
2020/3/30, 58, , 58, , , 6
2020/3/31, 67, , 42, , 1, 6
2020/4/1, 50, , 40, , 1, 4
2019/10/2, 94, , 41, , 3, 5
2019/10/3, 73, , 38, , 9, 4
2019/10/4, 89, , 41, , 3, 4
2019/10/5, 59, , 49, , 2, 6
2019/10/6, 55, , 40, , 1, 4
2019/10/7, 63, , 34, , 3, 5
2019/10/8, 74, , 35, , 2, 3
2019/10/9, 61, , 42, , 2, 3
2019/10/10, 53, , 35, , 1, 3
2019/10/11, 62, , 32, , 2, 4
2019/10/12, 55, , 41, , 3, 3
2019/10/13, 65, , 35, , 2, 3
2019/10/14, 49, , 40, , 2, 4
2019/10/15, 64, , 33, , 3, 5
2019/10/16, 72, , 40, , 3, 5
2019/10/17, 79, , 35, , 3, 6
2019/10/18, 77, , 42, , 3, 7
2019/10/19, 103, , 6, , 2, 5
2019/10/23, 61, , 31, , 2, 5
2019/10/24, 48, , 35, , 5, 8
2019/10/25, 69, , 22, , 2, 6
2019/10/26, 56, , 28, , 3, 6
2019/10/27, 60, , 39, , 3, 6
2019/10/28, 59, , 39, , 2, 5
2019/10/29, 56, , 40, , 2, 4
2019/10/30, 62, , 39, , 3, 4
2019/10/31, 62, , 41, , 2, 5
2019/11/1, 72, , 50, , 2, 4
2019/11/2, 65, , 40, , 1, 4
2019/11/3, 55, , 49, , 1, 3
2019/11/4, 57, , 44, , 2, 3
2019/11/5, 60, , 36, , 2, 4
2019/11/6, 55, , 40, , 3, 5
2019/11/7, 65, , 35, , 4, 4
2019/11/8, 62, , 40, , 2, 4
2019/11/9, 52, , 29, , 2, 5
2019/11/10, 62, , 36, , 2, 4
2019/11/11, 58, , 24, , 2, 5
2019/11/12, 63, , 22, , 3, 6
2019/11/13, 67, , 21, , 3, 6
2019/11/14, 65, , 30, , 3, 5
2019/11/15, 61, , 18, , 3, 5
2019/11/16, 63, , 27, , 3, 5
2019/11/17, 60, , 35, , 2, 4
2019/11/18, 45, , 29, , 3, 5
2019/11/19, 66, , 25, , 4, 6
2019/11/20, 79, , 32, , 3, 5
2019/11/21, 61, , 23, , 2, 5
2019/11/22, 62, , 36, , 2, 3
2019/11/23, 67, , 34, , 2, 3
2019/11/24, 67, , 52, , 3, 4
2019/11/25, 67, , 35, , 4, 3
2019/11/26, 67, , 27, , 3, 3
2019/11/27, 54, , 23, , 4, 3
2019/11/28, 52, , 25, , 3, 4
2019/11/29, 57, , 22, , 3, 4
2019/11/30, 81, , 41, , 2, 
2019/12/1, 65, , 34, , 3, 
2019/12/2, 66, , 32, , 3, 4
2019/12/3, 59, , 32, , 2, 4
2019/12/4, 53, , 34, , 4, 4
2019/12/5, 67, , 36, , 2, 3
2019/12/6, 61, , 35, , 3, 4
2019/12/7, 74, , 39, , 2, 3
2019/12/8, 56, , 40, , 2, 3
2019/12/9, 46, , 31, , 3, 4
2019/12/10, 71, , 34, , 2, 2
2019/12/11, 64, , 39, , 3, 2
2019/12/12, 67, , 31, , 3, 3
2019/12/13, 64, , 58, , 4, 4
2019/12/14, 85, , 32, , 3, 3
2019/12/15, 79, , 43, , 3, 4
2019/12/16, 76, , 40, , 3, 4
2019/12/17, 64, , 36, , 2, 2
2019/12/18, 54, , 32, , 3, 3
2019/12/19, 72, , 26, , 4, 4
2019/12/20, 77, , 19, , 4, 5
2019/12/21, 77, , 28, , 4, 5
2019/12/22, 60, , 24, , 3, 5
2019/12/23, 62, , 25, , 3, 3
2019/12/24, 72, , 25, , 3, 4
2019/12/25, 52, , 33, , 2, 3
2019/12/26, 52, , 29, , 2, 2
2019/12/27, 48, , 26, , 3, 5
2019/12/28, 60, , 29, , 3, 5
2019/12/29, 65, , 34, , 2, 4
2019/12/30, 58, , , , , 
2019/7/2, 42, , 23, , 4, 6
2019/7/3, 72, , 35, , 3, 7
