date, pm25, pm10, o3, no2, so2, co
2020/1/5, 59, , 29, , 2, 5
2020/1/6, 38, , 22, , 2, 7
2020/1/7, 53, , 32, , 4, 8
2020/1/8, 66, , 45, , 4, 6
2020/1/9, 65, , 29, , 4, 6
2020/1/10, 52, , 23, , 3, 5
2020/1/11, 40, , 23, , 3, 5
2020/1/12, 48, , 22, , 3, 4
2020/1/13, 29, , 25, , 3, 5
2020/1/14, 38, , 32, , 4, 5
2020/1/15, 56, , 25, , 5, 6
2020/1/16, 68, , 20, , 3, 6
2020/1/17, 44, , 23, , 3, 5
2020/1/18, 37, , 20, , 2, 4
2020/1/19, 30, , 21, , 2, 4
2020/1/20, 28, , 16, , 2, 8
2020/1/21, 59, , 14, , 2, 7
2020/1/22, 50, , 19, , 2, 7
2020/1/23, 48, , 34, , 2, 6
2020/1/24, 45, , 35, , 2, 7
2020/1/25, 48, , 40, , 3, 9
2020/1/26, 58, , 35, , 2, 7
2020/1/27, 53, , 32, , 2, 7
2020/1/28, 47, , 21, , 3, 8
2020/1/29, 58, , 19, , 2, 6
2020/1/30, 62, , 34, , 4, 10
2020/1/31, 79, , 52, , 3, 8
2020/2/1, 68, , 19, , 4, 11
2019/10/2, 81, , 32, , 5, 5
2019/10/3, 69, , 27, , 7, 5
2019/10/4, 66, , 34, , 4, 5
2019/10/5, 54, , 36, , 5, 6
2019/10/6, 56, , 30, , 2, 5
2019/10/7, 46, , 29, , 5, 6
2019/10/8, 43, , 32, , 7, 6
2019/10/9, 67, , 37, , 3, 6
2019/10/10, 62, , 31, , 2, 6
2019/10/11, 43, , 28, , 2, 7
2019/10/12, 56, , 35, , 4, 7
2019/10/13, 80, , 28, , 2, 7
2019/10/14, 58, , 32, , 2, 7
2019/10/15, 52, , 26, , 6, 6
2019/10/16, 73, , 26, , 5, 5
2019/10/17, 67, , 29, , 4, 8
2019/10/18, 72, , 32, , 4, 9
2019/10/19, 89, , 1, , 2, 9
2019/10/20, 63, , , , , 
2019/10/23, 46, , 23, , 5, 6
2019/10/24, 57, , 25, , 6, 9
2019/10/25, 72, , 26, , 6, 11
2019/10/26, 82, , 23, , 5, 11
2019/10/27, 73, , 33, , 3, 7
2019/10/28, 62, , 35, , 3, 6
2019/10/29, 55, , 31, , 4, 7
2019/10/30, 60, , 25, , 4, 9
2019/10/31, 71, , 35, , 3, 8
2019/11/1, 70, , 38, , 2, 7
2019/11/2, 55, , 37, , 2, 6
2019/11/3, 43, , 37, , 2, 6
2019/11/4, 52, , 34, , 2, 5
2019/11/5, 44, , 35, , 3, 8
2019/11/6, 48, , 34, , 2, 7
2019/11/7, 57, , 32, , 5, 7
